Direct Access Arrangement (DAA),GCI* PCM* SPI,1,3 V ~ 3.6 V,8.5mA,-,0°C ~ 70°C,Surface Mount,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP,
Direct Access Arrangement (DAA),GCI* PCM* SPI,1,3 V ~ 3.6 V,8.5mA,-,0°C ~ 70°C,Surface Mount,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP,
Subscriber Line Concept (SLIC)* CODEC,PCM* Serial* SPI,1,3.13 V ~ 5.25 V,88mA,800mW,0°C ~ 70°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width) Exposed Pad",16-SOIC,
Subscriber Line Concept (SLIC)* CODEC,GCI* PCM* SPI,1,3.13 V ~ 5.25 V,88mA,700mW,0°C ~ 70°C,Surface Mount,38-VFQFN Exposed Pad,38-QFN (5x7),
Low Voltage Transmission,-,1,3.4V,900µA,454mW,-25°C ~ 75°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SO,
ISDN,TDM,1,5V,-,-,-,Surface Mount,28-LCC (J-Lead),28-PLCC (11.51x11.51),
Line Unit (LIU),LIU,7,3.14 V ~ 3.47 V,-,-,-40°C ~ 85°C,Surface Mount,100-LQFP,100-TQFP (14x14),
Subscriber Line Concept (SLIC)* CODEC,PCM* Serial* SPI,1,3.13 V ~ 5.25 V,88mA,800mW,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width) Exposed Pad",16-SOIC,
DTMF Transceiver,-,1,4.75 V ~ 5.25 V,7mA,-,-40°C ~ 85°C,Surface Mount,"20-SOIC (0.295""* 7.50mm Width)",20-SOIC,
Data Access Arrangement (DAA),-,1,3 V ~ 5.5 V,10mA,1W,0°C ~ 85°C,Surface Mount,"32-SOIC (0.295""* 7.50mm Width)",32-SOIC,
Data Access Arrangement (DAA),-,1,3 V ~ 5.5 V,9mA,1W,-40°C ~ 85°C,Surface Mount,"32-SOIC (0.295""* 7.50mm Width)",32-SOIC,
Phone Line Monitor (PLM),-,1,3 V ~ 5.5 V,10mA,300mW,-40°C ~ 85°C,Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC,
Phone Line Monitor with Detectors (PLMD),-,1,3 V ~ 5.5 V,1.72mA,50mW,-40°C ~ 85°C,Surface Mount,"16-SSOP (0.154""* 3.90mm Width)",16-SOP,
Line Card Access Switch,-,1,4.5 V ~ 5.5 V,700µA,10.5W,-40°C ~ 110°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC,
Single-Chip Transceiver,E1* HDLC,1,3.14 V ~ 3.47 V,75mA,-,-40°C ~ 85°C,Surface Mount,100-LQFP,100-LQFP (14x14),
Elastic Store,PCM,1,4.5 V ~ 5.5 V,9mA,-,-40°C ~ 85°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-PDIP,
DTMF Receiver,-,1,4.75 V ~ 5.25 V,3mA,-,-40°C ~ 85°C,Through Hole,"18-DIP (0.300""* 7.62mm)",18-PDIP,
DTMF Receiver,-,1,4.75 V ~ 5.25 V,3mA,-,-40°C ~ 85°C,Surface Mount,"18-SOIC (0.295""* 7.50mm Width)",18-SOIC,
Transceiver,E1,4,3.3V,-,-,Surface Mount,256-BGA,256-BGA (27x27),Includes Alarm Detection and Generation* Channel Control* Framer* HDLC Controller,
Telecom Circuit,Parallel,1,4.75 V ~ 5.25 V,10µA,-,-40°C ~ 85°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC,
Controller,-,1,4.75 V ~ 5.25 V,1µA,-,-40°C ~ 85°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC,
PCM CODEC,PCM,1,4.75 V ~ 5.25 V,3mA,-,0°C ~ 70°C,Through Hole,"18-DIP (0.300""* 7.62mm)",18-PDIP,
Digital Phase Locked Loop,-,1,3 V ~ 3.6 V,50mA,-,-40°C ~ 85°C,Surface Mount,"48-SSOP (0.295""* 7.50mm Width)",48-SSOP,
Dual Channel Subscriber Line Circuit (DuSLIC),IOM-2* PCM,2,3.3V,105mA,-,0°C ~ 70°C,Surface Mount,64-LQFP,P-TQFP-64,Includes DTMF Generator and Decoder* Line Echo Cancellation (LEC)* Teletax (TTX) Generation* Universal Tone Detection (UTD)
Dual Channel Subscriber Line Circuit (DuSLIC),IOM-2* PCM,2,5V,60mA* 90mA,-,Surface Mount,"20-SOIC (0.433""* 11.00mm Width) Exposed Pad",P-DSO-20-5,Includes DTMF Generator and Decoder* Line Echo Cancellation (LEC)* Teletax (TTX) Generation* Universal Tone Detection (UTD),
Serial Optimized Communications Controller,ASYNC* BISYNC* HDLC* PPP,2,3 V ~ 3.6 V,50mA,150mW,-40°C ~ 85°C,Surface Mount,100-LQFP,P-TQFP-100,Includes Bit Processor Functions* Serial Communication Controllers (SCCs)
Framer* Line Unit (LIU),E1* HDLC* J1* T1,1,1.8V* 3.3V,80mA,250mW,-40°C ~ 85°C,Surface Mount,80-QFP,P-MQFP-80-1,Includes Clock Generation* Line Monitor Protection* Power-Down* Receive Line Monitor Mode* Remote Alarm Generation / Checking* Tristate
CODEC,IOM-2* SCI,1,5V,97.5mA,-,Surface Mount,44-QFP,P-MQFP-44-1,Includes Activation and Deactivation* Channel Handler* DTMF / Tone / Ringing Generator* HDLC Controller* Speakerphone* Voice Monitoring,
Direct Access Arrangement (DAA),Parallel* SPI* UART,1,3 V ~ 3.6 V,8.5mA,-,0°C ~ 70°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC,Includes -
Subscriber Line Concept (SLIC)* CODEC,PCM* Serial* SPI,1,3.13 V ~ 5.25 V,88mA,800mW,0°C ~ 70°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width) Exposed Pad",16-SOIC,Includes BORSCHT Functions* Ring Trip Detection
Subscriber Line Concept (SLIC)* CODEC,PCM* SPI,1,3.3V* 5V,88mA,700mW,0°C ~ 70°C,Surface Mount,"38-TFSOP (0.173""* 4.40mm Width)",38-TSSOP,Includes BORSCHT Functions* DTMF Generation and Decoding* FSK Generation* Pulse Metering Generation* Voice Loopback Test Modes
Voice Processor,I²S* SPI* UART,2,-,-,-,-40°C ~ 85°C,Surface Mount,100-LQFP,100-LQFP (14x14),
Direct Access Arrangement (DAA),Parallel* SPI* UART,1,3 V ~ 3.6 V,8.5mA,-,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC,Includes -
Direct Access Arrangement (DAA),DSP* Serial,1,3 V ~ 3.6 V,15mA,-,0°C ~ 70°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC,Includes -
Power Line Networking System-On-Chip,UART,1,8 V ~ 18 V,-,-,-40°C ~ 85°C,Surface Mount,48-VFQFN Exposed Pad,48-VQFN-EP (7x7),Includes AFE* Line Driver* PHY Processor Core* Protocol Controller Core
Power Line Networking System-On-Chip,I²C* SPI,1,8 V ~ 18 V,-,-,-40°C ~ 80°C,Surface Mount,100-TQFP Exposed Pad,100-TQFP (14x14),Includes AFE* Line Driver* PHY Processor Core* Protocol Controller Core
Transceiver,E1,4,3.3V,-,-,Surface Mount,256-BGA,256-BGA (27x27),Includes Alarm Detection and Generation* Channel Control* Framer* HDLC Controller,
Subscriber Line Concept (SLIC),2-Wire,2,4.75 V ~ 5.25 V,-,-,-40°C ~ 85°C,Surface Mount,44-TQFP Exposed Pad,44-TQFP-EP (10x10),
Subscriber Line Concept (SLIC),PCM,4,3.3V,-,-,-40°C ~ 85°C,Surface Mount,44-LCC (J-Lead),44-PLCC (16.58x16.58),
Subscriber Line Concept (SLIC),PCM,4,3.3V,-,-,-40°C ~ 85°C,Surface Mount,64-LQFP,64-LQFP (14x14),
Switch,-,1,4.5 V ~ 5.5 V,-,-,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC,
Switch,-,1,4.5 V ~ 5.5 V,-,-,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC,
Voice-Switched Speakerphone,-,1,5.4V,9mA,100mW,-20°C ~ 60°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC,
DTMF Receiver,-,1,4.75 V ~ 5.25 V,3mA,-,-40°C ~ 85°C,Through Hole,"18-DIP (0.300""* 7.62mm)",18-PDIP,
DTMF Receiver,-,1,4.75 V ~ 5.25 V,3mA,-,-40°C ~ 85°C,Surface Mount,"18-SOIC (0.295""* 7.50mm Width)",18-SOIC,
DTMF Transceiver,-,1,4.75 V ~ 5.25 V,7mA,-,-40°C ~ 85°C,Surface Mount,"20-SOIC (0.295""* 7.50mm Width)",20-SOIC,
Telecom Circuit,3-Wire,1,2.7 V ~ 5.5 V,4.7mA,-,-40°C ~ 85°C,Surface Mount,"24-SOIC (0.295""* 7.50mm Width)",24-SOIC,
Telecom Circuit,3-Wire,1,2.7 V ~ 5.5 V,4.3mA,-,-40°C ~ 85°C,Surface Mount,"20-SOIC (0.295""* 7.50mm Width)",20-SOIC,
Telecom Circuit,Parallel,1,4.75 V ~ 5.25 V,10µA,-,-40°C ~ 85°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC,
Controller,-,1,4.75 V ~ 5.25 V,1µA,-,-40°C ~ 85°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC,
PCM CODEC,PCM,1,4.75 V ~ 5.25 V,3mA,-,0°C ~ 70°C,Through Hole,"18-DIP (0.300""* 7.62mm)",18-PDIP,
Digital Phase Locked Loop,-,1,4.5 V ~ 5.5 V,60mA,-,-40°C ~ 85°C,Surface Mount,28-LCC (J-Lead),28-PLCC,
Digital Phase Locked Loop,-,1,3 V ~ 3.6 V,50mA,-,-40°C ~ 85°C,Surface Mount,"48-SSOP (0.295""* 7.50mm Width)",48-SSOP,
Transceiver,-,1,3 V ~ 3.6 V,85mA,-,-40°C ~ 85°C,Surface Mount,68-LCC (J-Lead),68-PLCC (24.23x24.23),
Subscriber Line Concept (SLIC),-,1,4.75 V ~ 5.25 V,10mA,-,-40°C ~ 85°C,Surface Mount,"24-SSOP (0.209""* 5.30mm Width)",24-SSOP,
Subscriber Line Concept (SLIC),-,1,5V,2.8mA,290mW,-40°C ~ 85°C,Surface Mount,"24-SOIC (0.295""* 7.50mm Width)",PG-DSO-24,
Dual Channel Subscriber Line Circuit (DuSLIC),IOM-2* PCM,2,3.3V,105mA,-,0°C ~ 70°C,Surface Mount,64-LQFP,P-TQFP-64,
Dual Channel Subscriber Line Circuit (DuSLIC),IOM-2* PCM,2,3.3V,105mA,-,0°C ~ 70°C,Surface Mount,64-LQFP,P-TQFP-64,Includes DTMF Generator and Decoder* Line Echo Cancellation (LEC)* Teletax (TTX) Generation* Universal Tone Detection (UTD)
Dual Channel Subscriber Line Circuit (DuSLIC),IOM-2* PCM,2,5V,60mA* 90mA,-,Surface Mount,"20-SOIC (0.433""* 11.00mm Width) Exposed Pad",P-DSO-20-5,Includes DTMF Generator and Decoder* Line Echo Cancellation (LEC)* Teletax (TTX) Generation* Universal Tone Detection (UTD),
Serial Optimized Communications Controller,ASYNC* BISYNC* HDLC* PPP,2,3 V ~ 3.6 V,50mA,150mW,-40°C ~ 85°C,Surface Mount,100-LQFP,P-TQFP-100,Includes Bit Processor Functions* Serial Communication Controllers (SCCs)
Framer* Line Unit (LIU),E1* HDLC* J1* T1,1,1.8V* 3.3V,80mA,250mW,-40°C ~ 85°C,Surface Mount,80-QFP,P-MQFP-80-1,Includes Clock Generation* Line Monitor Protection* Power-Down* Receive Line Monitor Mode* Remote Alarm Generation / Checking* Tristate
CODEC,IOM-2* SCI,1,5V,97.5mA,-,Surface Mount,44-QFP,P-MQFP-44-1,Includes Activation and Deactivation* Channel Handler* DTMF / Tone / Ringing Generator* HDLC Controller* Speakerphone* Voice Monitoring,
Single-Chip IP-Phone Solution,-,-,-,-,-,-,Surface Mount,324-LBGA,PG-LBGA-324-3,
Direct Access Arrangement (DAA),Parallel* SPI* UART,1,3 V ~ 3.6 V,8.5mA,-,0°C ~ 70°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC,Includes -
Direct Access Arrangement (DAA),GCI* PCM* SPI,1,3 V ~ 3.6 V,8.5mA,-,0°C ~ 70°C,Surface Mount,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP,
Direct Access Arrangement (DAA),GCI* PCM* SPI,1,3 V ~ 3.6 V,8.5mA,-,0°C ~ 70°C,Surface Mount,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP,
Subscriber Line Concept (SLIC)* CODEC,PCM* Serial* SPI,1,3.13 V ~ 5.25 V,88mA,800mW,0°C ~ 70°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width) Exposed Pad",16-SOIC,
Subscriber Line Concept (SLIC)* CODEC,PCM* Serial* SPI,1,3.13 V ~ 5.25 V,88mA,800mW,0°C ~ 70°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width) Exposed Pad",16-SOIC,Includes BORSCHT Functions* Ring Trip Detection
Subscriber Line Concept (SLIC)* CODEC,PCM* SPI,1,3.3V* 5V,88mA,700mW,0°C ~ 70°C,Surface Mount,"38-TFSOP (0.173""* 4.40mm Width)",38-TSSOP,Includes BORSCHT Functions* DTMF Generation and Decoding* FSK Generation* Pulse Metering Generation* Voice Loopback Test Modes
Subscriber Line Concept (SLIC)* CODEC,GCI* PCM* SPI,1,3.13 V ~ 5.25 V,88mA,700mW,0°C ~ 70°C,Surface Mount,38-VFQFN Exposed Pad,38-QFN (5x7),
Low Voltage Transmission,-,1,3.4V,900µA,454mW,-25°C ~ 75°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SO,
ISDN,TDM,1,5V,-,-,-,Surface Mount,28-LCC (J-Lead),28-PLCC (11.51x11.51),
Line Unit (LIU),LIU,7,3.14 V ~ 3.47 V,-,-,-40°C ~ 85°C,Surface Mount,100-LQFP,100-TQFP (14x14),
