USB Switch,2,1:02,High Side,P-Channel,On/Off,2.7 V ~ 5.5 V,Not Required,500mA,100 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Over Temperature* UVLO,-40°C ~ 125°C (TJ),"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
USB Switch,1,1:01,High Side,N-Channel,On/Off,2.5 V ~ 5.5 V,Not Required,1.5A,80 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Over Temperature* Reverse Current* UVLO,-40°C ~ 125°C (TJ),SC-74A* SOT-753,SOT-23-5
General Purpose,1,1:01,High Side,N-Channel,On/Off,2.8 V ~ 36 V,Not Required,2A,88 mOhm,Non-Inverting,Power Good* Controlled* Status Flag,Current Limiting (Adjustable)* Over Temperature* UVLO,-40°C ~ 85°C (TA),"8-SOIC (0.154""* 3.90mm Width)",8-SO
General Purpose,1,1:01,High Side,N-Channel,On/Off,2.7 V ~ 5.5 V,Not Required,500mA,95 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Over Temperature* UVLO,-40°C ~ 125°C (TJ),SC-74A* SOT-753,SOT-23-5
General Purpose,1,1:01,High Side,N-Channel,On/Off,2.7 V ~ 5.5 V,Not Required,1A,70 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Over Temperature* UVLO,-40°C ~ 125°C (TJ),SC-74A* SOT-753,SOT-23-5
General Purpose,1,1:01,High Side,P-Channel,On/Off,1.62 V ~ 5.5 V,Not Required,100mA,400 mOhm,Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* UVLO,-40°C ~ 125°C (TJ),5-TSSOP* SC-70-5* SOT-353,SC-70-5
General Purpose,1,1:01,High Side,N-Channel,On/Off,5 V ~ 34 V,Not Required,2.6A,50 mOhm,Non-Inverting,Auto Restart,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"8-SOIC (0.154""* 3.90mm Width)",P-DSO-8
General Purpose,4,1:01,Low Side,N-Channel,On/Off,50V (Max),Not Required,800mA,150 mOhm,Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,150°C (TJ),"20-SOIC (0.295""* 7.50mm Width)",20-SO
General Purpose,1,1:01,High Side,P-Channel,On/Off,1.5 V ~ 6 V,Not Required,2A,80 mOhm,Non-Inverting,Load Discharge* Controlled,-,-40°C ~ 85°C (TA),SOT-23-6,SOT-26
USB Switch,2,1:02,High Side,P-Channel,On/Off,2.7 V ~ 5.5 V,Not Required,500mA,100 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Over Temperature* UVLO,-40°C ~ 125°C (TJ),"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Relay* Solenoid Driver,1,1:01,-,Bipolar,On/Off,3 V ~ 5 V,Not Required,250mA,-,-,-,-,-55°C ~ 150°C (TJ),TO-236-3* SC-59* SOT-23-3,SOT-23
General Purpose,1,1:01,High Side,N-Channel,On/Off,5.5 V ~ 36 V,Not Required,700mA,135 mOhm (Max),Non-Inverting,Auto Restart* Status Flag,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"8-SOIC (0.154""* 3.90mm Width)",8-SO
General Purpose,1,1:01,High Side,N-Channel,On/Off,5.5 V ~ 36 V,Not Required,30A,15 mOhm (Max),Non-Inverting,Auto Restart,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),PowerSO-10 Exposed Bottom Pad,10-PowerSO
General Purpose,4,1:01,High Side,N-Channel,On/Off,5.5 V ~ 36 V,Not Required,3.5A,160 mOhm (Max),Non-Inverting,Auto Restart* Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"28-SOIC (0.295""* 7.50mm Width)",28-SO
General Purpose,1,1:01,High Side,P-Channel,On/Off,3 V ~ 14 V,Not Required,1.8A,100 mOhm,Non-Inverting,Status Flag,Over Temperature* UVLO,-40°C ~ 150°C (TJ),"12-TFSOJ (0.094""* 2.40mm Width)",12-TSOPJW
General Purpose,1,1:01,High Side,P-Channel,On/Off,3 V ~ 14 V,Not Required,1.8A,100 mOhm,Non-Inverting,Status Flag,Over Temperature* UVLO,-40°C ~ 150°C (TJ),"12-TFSOJ (0.094""* 2.40mm Width)",12-TSOPJW
General Purpose,1,1:01,High Side,N-Channel,On/Off,2.8 V ~ 36 V,Not Required,2A,88 mOhm,Non-Inverting,Auto Restart* Power Good* Controlled* Status Flag,Current Limiting (Adjustable)* Over Temperature* UVLO,-40°C ~ 85°C (TA),"8-SOIC (0.154""* 3.90mm Width)",8-SO
General Purpose,1,1:01,Low Side,N-Channel,On/Off,60V (Max),Not Required,3.5A,80 mOhm,Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,PG-TO263-3-2
General Purpose,2,1:01,High Side,N-Channel,Parallel,5 V ~ 34 V,Not Required,3.5A,160 mOhm,Non-Inverting,Auto Restart* Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage* UVLO,-40°C ~ 150°C (TJ),TO-263-7* D²Pak (6 Leads + Tab),P-TO263-7-2
General Purpose,1,1:01,High Side,N-Channel,On/Off,5.5 V ~ 62 V,Not Required,5.5A,16 mOhm,Non-Inverting,Auto Restart,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-252-5* DPak (4 Leads + Tab)* TO-252AD,PG-TO252-5-11
General Purpose,1,1:01,High Side,N-Channel,On/Off,5 V ~ 34 V,Not Required,11.4A,27 mOhm,Non-Inverting,Auto Restart* Status Flag,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-263-7* D²Pak (6 Leads + Tab),P-TO263-7-2
General Purpose,1,1:01,High Side,N-Channel,On/Off,5 V ~ 34 V,Not Required,55A,4.4 mOhm,Non-Inverting,-,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-263-8* D²Pak (7 Leads + Tab)* TO-263CA,P-TO220-7
General Purpose,2,1:01,High Side,N-Channel,On/Off,5 V ~ 34 V,Not Required,4.9A,27 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"20-SOIC (0.295""* 7.50mm Width)",PG-DSO-20
General Purpose,2,1:01,High Side,N-Channel,On/Off,7 V ~ 58 V,Not Required,2.5A,90 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"14-SOIC (0.154""* 3.90mm Width)",PG-DSO-14
General Purpose,2,1:01,High Side,N-Channel,On/Off,5.5 V ~ 40 V,Not Required,3.7A,70 mOhm,Non-Inverting,-,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"12-BSOP (0.295""* 7.50mm Width) Exposed Pad",PG-DSO-12-9
General Purpose,1,1:01,High Side,N-Channel,On/Off,5 V ~ 34 V,Not Required,3.5A,70 mOhm,Non-Inverting,Auto Restart,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-252-5* DPak (4 Leads + Tab)* TO-252AD,PG-TO252-5
General Purpose,1,1:01,High Side,N-Channel,On/Off,4.5 V ~ 42 V,Not Required,9A,30 mOhm,Non-Inverting,Auto Restart* Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-220-5 Formed Leads,PG-TO220-5-3
General Purpose,2,1:01,High Side,N-Channel,Parallel,5 V ~ 34 V,Not Required,3.5A,160 mOhm,Non-Inverting,Auto Restart* Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage* UVLO,-40°C ~ 150°C (TJ),TO-263-7* D²Pak (6 Leads + Tab),P-TO263-7-2
General Purpose,1,1:01,Low Side,N-Channel,On/Off,60V (Max),Not Required,12A,25 mOhm,Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,PG-TO263-3-2
General Purpose,1,1:01,Low Side,N-Channel,On/Off,60V (Max),Not Required,7A,40 mOhm,Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,PG-TO263-3-2
General Purpose,1,1:01,High Side,N-Channel,On/Off,5 V ~ 34 V,Not Required,1.8A,160 mOhm,-,Auto Restart,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage* UVLO,-40°C ~ 150°C (TJ),TO-263-5* D²Pak (4 Leads + Tab)* TO-263BB,PG-TO263-5-2
General Purpose,4,1:01,High Side,N-Channel,On/Off,5.5 V ~ 40 V,Not Required,2.3A,110 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"20-SOIC (0.295""* 7.50mm Width)",PG-DSO-20
General Purpose,4,1:01,High Side,N-Channel,On/Off,5 V ~ 34 V,Not Required,1.7A,165 mOhm,Non-Inverting,Auto Restart* Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"20-SOIC (0.295""* 7.50mm Width)",PG-DSO-20
General Purpose,8,1:01,High Side,N-Channel,On/Off,11 V ~ 45 V,Not Required,625mA,150 mOhm,Non-Inverting,Auto Restart* Status Flag,Current Limiting (Fixed)* Over Temperature* Over Voltage,-25°C ~ 125°C (TJ),"36-BSSOP (0.433""* 11.00mm Width) Exposed Pad",PG-DSO-36
General Purpose,8,1:01,High Side,N-Channel,On/Off,11 V ~ 45 V,Not Required,625mA,150 mOhm,Non-Inverting,Auto Restart* Status Flag,Current Limiting (Fixed)* Over Temperature* Over Voltage,-25°C ~ 125°C (TJ),"36-BSSOP (0.433""* 11.00mm Width) Exposed Pad",PG-DSO-36
General Purpose,1,1:01,High Side,N-Channel,On/Off,12 V ~ 45 V,Not Required,700mA,150 mOhm,Non-Inverting,Auto Restart,Current Limiting (Fixed)* Over Temperature* Over Voltage,-30°C ~ 85°C (TA),TO-261-4* TO-261AA,PG-SOT223-4
General Purpose,4,1:01,High Side,N-Channel,On/Off,5.5 V ~ 40 V,Not Required,3A,70 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"20-SOIC (0.295""* 7.50mm Width)",PG-DSO-20
General Purpose,4,1:01,High Side,N-Channel,On/Off,5.5 V ~ 40 V,Not Required,3A,70 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"20-SOIC (0.295""* 7.50mm Width)",PG-DSO-20
General Purpose,1,1:01,High Side,N-Channel,On/Off,2.5 V ~ 6.5 V,Not Required,1.5A,100 mOhm,Non-Inverting,Controlled* Status Flag,Current Limiting (Adjustable)* Over Temperature* UVLO,-40°C ~ 150°C (TJ),6-WDFN Exposed Pad,6-SON (2x2)
General Purpose,4,1:01,High Side,N-Channel,On/Off,5.5 V ~ 40 V,Not Required,3A,70 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"20-SOIC (0.295""* 7.50mm Width)",PG-DSO-20
General Purpose,1,1:01,High Side,N-Channel,On/Off,2.5 V ~ 6.5 V,Not Required,1.5A,100 mOhm,Non-Inverting,Controlled* Status Flag,Current Limiting (Adjustable)* Over Temperature* UVLO,-40°C ~ 150°C (TJ),6-WDFN Exposed Pad,6-SON (2x2)
General Purpose,1,1:01,Low Side,N-Channel,On/Off,55V (Max),Not Required,3.5A,200 mOhm (Max),Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-252-3* DPak (2 Leads + Tab)* SC-63,DPAK
General Purpose,8,1:01,High Side,Bipolar,On/Off,5 V ~ 50 V,Not Required,500mA,-,Non-Inverting,-,-,-20°C ~ 85°C (TA),"18-DIP (0.300""* 7.62mm)",18-DIP
General Purpose,4,1:01,High Side,N-Channel,On/Off,5.5 V ~ 40 V,Not Required,3A,70 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"20-SOIC (0.295""* 7.50mm Width)",PG-DSO-20
General Purpose,4,1:01,High Side,N-Channel,On/Off,5.5 V ~ 40 V,Not Required,3A,70 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Open Load Detect* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"20-SOIC (0.295""* 7.50mm Width)",PG-DSO-20
General Purpose,1,1:01,Low Side,N-Channel,On/Off,50V (Max),Not Required,(Max) 11A,53 mOhm,Non-Inverting,-,Over Temperature* Over Voltage,-55°C ~ 150°C (TJ),TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,D2PAK
Latched Driver,10,1:10,High Side,Bipolar,Strobe* Serial,60V (Max),3 V ~ 5.5 V,(Max) 40mA,-,Non-Inverting,-,-,-20°C ~ 85°C (TA),"18-DIP (0.300""* 7.62mm)",18-DIP
USB Switch,2,1:02,High Side,P-Channel,On/Off,2.7 V ~ 5.5 V,Not Required,500mA,100 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Over Temperature* UVLO,-40°C ~ 125°C (TJ),"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
USB Switch,1,1:01,High Side,N-Channel,On/Off,2.5 V ~ 5.5 V,Not Required,1.5A,80 mOhm,Non-Inverting,Status Flag,Current Limiting (Fixed)* Over Temperature* Reverse Current* UVLO,-40°C ~ 125°C (TJ),SC-74A* SOT-753,SOT-23-5
General Purpose,1,1:01,Low Side,N-Channel,On/Off,55V (Max),Not Required,7A,100 mOhm (Max),Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,-,TO-220-3,TO-220AB
General Purpose,1,1:01,Low Side,N-Channel,On/Off,-,Not Required,(Max) 6A,150 mOhm,Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,-,TO-252-3* DPak (2 Leads + Tab)* SC-63,DPAK
General Purpose,8,1:01,High Side,Bipolar,On/Off,5 V ~ 50 V,Not Required,(Max) 500mA,-,Non-Inverting,-,-,-20°C ~ 85°C (TA),"18-DIP (0.300""* 7.62mm)",18-DIP
General Purpose,1,1:01,Low Side,N-Channel,On/Off,60V (Max),Not Required,1.3A,385 mOhm,Non-Inverting,Auto Restart,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-261-4* TO-261AA,SOT-223
General Purpose,1,1:01,High Side,P-Channel,On/Off,3 V ~ 20 V,2.5 V ~ 8 V,1.8A,95 mOhm,Non-Inverting,-,-,-55°C ~ 150°C (TJ),SOT-23-6 Thin* TSOT-23-6,SuperSOT™-6
General Purpose,8,1:01,High Side,Bipolar,On/Off,4.75 V ~ 35 V,Not Required,(Max) 350mA,-,Non-Inverting,Status Flag,Current Limiting (Fixed)* Over Temperature,-20°C ~ 85°C (TA),"20-SOIC (0.295""* 7.50mm Width)",20-SOIC
General Purpose,8,1:01,High Side,Bipolar,On/Off,4.75 V ~ 35 V,Not Required,(Max) 350mA,-,Non-Inverting,Status Flag,Current Limiting (Fixed)* Over Temperature,-20°C ~ 85°C (TA),"20-DIP (0.300""* 7.62mm)",20-DIP
General Purpose,1,1:01,Low Side,N-Channel,On/Off,55V (Max),Not Required,(Max) 3.5A,200 mOhm (Max),Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),TO-252-3* DPak (2 Leads + Tab)* SC-63,DPAK
General Purpose,1,1:01,Low Side,N-Channel,On/Off,55V (Max),Not Required,(Max) 7A,100 mOhm (Max),Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,-,TO-220-3,TO-220AB
General Purpose,2,1:01,Low Side,N-Channel,On/Off,36V (Max),Not Required,(Max) 3.5A,120 mOhm (Max),Non-Inverting,-,Current Limiting (Fixed)* Over Temperature* Over Voltage,-40°C ~ 150°C (TJ),"8-SOIC (0.154""* 3.90mm Width)",8-SO
